iter	Passed	Remaining
0	67	6639
1	74	3665
2	82	2669
3	91	2189
4	100	1908
5	109	1710
6	119	1590
7	128	1478
8	137	1393
9	147	1323
10	155	1261
11	164	1209
12	174	1166
13	182	1121
14	190	1081
15	199	1045
16	207	1013
17	215	983
18	224	956
19	232	929
20	240	905
21	248	882
22	257	861
23	265	841
24	274	822
25	282	804
26	291	787
27	299	769
28	308	754
29	316	738
30	324	722
31	332	707
32	340	691
33	348	677
34	357	663
35	365	649
36	373	636
37	381	623
38	390	610
39	398	597
40	406	585
41	415	573
42	423	561
43	431	549
44	440	537
45	448	526
46	456	514
47	464	502
48	472	491
49	479	479
50	487	468
51	496	457
52	504	447
53	512	436
54	520	425
55	528	415
56	536	404
57	544	394
58	552	384
59	560	373
60	583	372
61	588	360
62	595	349
63	603	339
64	613	330
65	621	320
66	630	310
67	640	301
68	648	291
69	657	281
70	666	272
71	675	262
72	684	253
73	692	243
74	700	233
75	709	223
76	717	214
77	726	204
78	735	195
79	743	185
80	752	176
81	761	167
82	769	157
83	778	148
84	787	138
85	796	129
86	804	120
87	813	110
88	822	101
89	831	92
90	840	83
91	857	74
92	866	65
93	875	55
94	886	46
95	894	37
96	903	27
97	912	18
98	921	9
99	930	0
