iter	Logloss	Recall
0	0.5414223721	0.6824542519
1	0.380471844	0.6695371367
2	0.3316309086	0.6200215285
3	0.2823597479	0.6092572659
4	0.2503951897	0.6081808396
5	0.2242479236	0.6598493003
6	0.2075767766	0.6555435953
7	0.199166341	0.6533907427
8	0.1913394804	0.6727664155
9	0.1824038644	0.6792249731
10	0.1777771091	0.6738428418
11	0.1696261288	0.6889128095
12	0.1639829904	0.6953713671
13	0.1592757334	0.7082884822
14	0.1569452447	0.7179763186
15	0.1534610121	0.7233584499
16	0.1523222543	0.7212055974
17	0.1492985873	0.7298170075
18	0.1474099733	0.7362755651
19	0.1447551994	0.7427341227
20	0.1436664122	0.7448869752
21	0.1416410048	0.748116254
22	0.1399087902	0.7545748116
23	0.1379236667	0.7610333692
24	0.1367802966	0.7588805167
25	0.1358711089	0.764262648
26	0.1345097976	0.7664155005
27	0.132776302	0.7707212056
28	0.1311647332	0.7771797632
29	0.1296571728	0.7771797632
30	0.1277526931	0.7793326157
31	0.1269247438	0.7793326157
32	0.1258793268	0.7836383208
33	0.1252399499	0.7836383208
34	0.1239377977	0.784714747
35	0.123180942	0.784714747
36	0.1222582965	0.7857911733
37	0.121365498	0.7868675996
38	0.1207745979	0.7922497309
39	0.1201907217	0.7890204521
40	0.1193017365	0.7922497309
41	0.1189390153	0.7911733046
42	0.1177344526	0.7944025834
43	0.1171675203	0.7976318622
44	0.1165441209	0.800861141
45	0.1154986852	0.8051668461
46	0.1146560773	0.8083961249
47	0.1144688366	0.8083961249
48	0.1137486963	0.8062432723
49	0.1130127522	0.8159311087
50	0.1125678197	0.8159311087
51	0.1113363347	0.8202368138
52	0.1110801913	0.8191603875
53	0.1101290187	0.8202368138
54	0.1093645939	0.82131324
55	0.1091047719	0.8234660926
56	0.1081117947	0.8266953714
57	0.1072231582	0.8310010764
58	0.1061950944	0.8363832078
59	0.1054814381	0.8342303552
60	0.1049325749	0.837459634
61	0.1043448517	0.8439181916
62	0.1032224651	0.8449946179
63	0.1021995114	0.8449946179
64	0.1015616418	0.8449946179
65	0.1011158129	0.8503767492
66	0.1005434262	0.853606028
67	0.09971550781	0.853606028
68	0.09908737497	0.857911733
69	0.09839439953	0.8557588805
70	0.09774373534	0.8568353068
71	0.09700849078	0.8589881593
72	0.09666792589	0.8589881593
73	0.09619402085	0.8589881593
74	0.09581987727	0.8589881593
75	0.09541461764	0.8589881593
76	0.09491034728	0.8632938644
77	0.09437507324	0.8665231432
78	0.09377290896	0.869752422
79	0.09285414639	0.8719052745
80	0.09256342225	0.8729817008
81	0.09182021531	0.8762109795
82	0.09145330506	0.8762109795
83	0.09099693139	0.8805166846
84	0.09064828142	0.8826695371
85	0.09031182576	0.8837459634
86	0.08948303438	0.8880516685
87	0.08904874147	0.8891280947
88	0.08849253088	0.890204521
89	0.08802378625	0.8880516685
90	0.08721861074	0.890204521
91	0.08666506416	0.8923573735
92	0.08595268282	0.8988159311
93	0.08537146731	0.9031216362
94	0.08469079298	0.9052744887
95	0.0838779952	0.9052744887
96	0.08304717259	0.906350915
97	0.08224684304	0.9074273412
98	0.08156226333	0.9095801938
99	0.08108023665	0.91065662
