iter	Passed	Remaining
0	5	538
1	11	542
2	16	537
3	22	540
4	30	572
5	34	536
6	38	510
7	42	489
8	46	470
9	51	462
10	55	448
11	58	432
12	62	419
13	68	422
14	73	415
15	78	411
16	87	428
17	91	415
18	94	404
19	98	394
20	102	385
21	109	386
22	112	377
23	117	371
24	120	362
25	124	354
26	128	346
27	132	340
28	136	333
29	139	325
30	143	319
31	150	319
32	153	312
33	157	305
34	161	299
35	165	294
36	169	288
37	173	282
38	176	276
39	180	271
40	187	269
41	191	264
42	195	258
43	198	253
44	202	247
45	205	241
46	210	237
47	214	232
48	217	226
49	221	221
50	225	216
51	228	210
52	232	205
53	236	201
54	239	195
55	242	190
56	246	186
57	250	181
58	255	177
59	259	172
60	264	168
61	267	164
62	271	159
63	275	154
64	278	150
65	285	147
66	289	142
67	293	137
68	296	133
69	302	129
70	306	125
71	309	120
72	313	116
73	318	111
74	321	107
75	326	102
76	329	98
77	333	94
78	337	89
79	343	85
80	349	82
81	352	77
82	356	73
83	360	68
84	363	64
85	367	59
86	371	55
87	374	51
88	389	48
89	392	43
90	396	39
91	399	34
92	403	30
93	406	25
94	410	21
95	414	17
96	419	12
97	422	8
98	426	4
99	430	0
